case_id,case_type,model,model_label,model_family,modeling_row_id,semantic_group_id,actual_class,predicted_class,direction,rank,feature_index,feature_name,feature_label,feature_group,feature_value,shap_value,abs_shap_value
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,3,9847,text__word__technical specifications,technical specifications,text,0.15800032019615173,-0.18185929954051971,0.18185929954051971
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,4,252,text__word__additionally would,additionally would,text,0.08370519429445267,-0.14065220952033997,0.14065220952033997
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,5,2176,text__word__currently,currently,text,0.08121998608112335,-0.13377662003040314,0.13377662003040314
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,6,7764,text__word__reaching,reaching,text,0.07169783860445023,-0.119988813996315,0.119988813996315
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,7,11145,text__word__would,would,text,0.0714634582400322,-0.11492685973644257,0.11492685973644257
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,8,9839,text__word__technical,technical,text,0.09340479224920273,-0.0831369087100029,0.0831369087100029
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,9,13817,text__char__ope,[char] ope,text,0.07174885272979736,-0.08011549711227417,0.08011549711227417
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,10,983,text__word__aware additionally,aware additionally,text,0.15800032019615173,-0.07069800794124603,0.07069800794124603
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,1,4601,text__word__industry would,industry would,text,0.16928048431873322,0.6227501034736633,0.6227501034736633
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,2,2666,text__word__details payment,details payment,text,0.1616174429655075,0.43528375029563904,0.43528375029563904
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,3,251,text__word__additionally please,additionally please,text,0.13390468060970306,0.3854856789112091,0.3854856789112091
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,4,9459,text__word__subscription,subscription,text,0.10892438888549805,0.24322398006916046,0.24322398006916046
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,5,7720,text__word__quickbooks,quickbooks,text,0.10971610248088837,0.20705987513065338,0.20705987513065338
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,6,15006,categorical__queue_Billing and Payments,Billing and Payments,queue,1.0,0.17748671770095825,0.17748671770095825
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,7,6700,text__word__organizations,organizations,text,0.14494089782238007,0.1748642921447754,0.1748642921447754
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,8,11084,text__word__within financial,within financial,text,0.14368046820163727,0.15864086151123047,0.15864086151123047
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,9,9810,text__word__team hope,team hope,text,0.11658740043640137,0.1010558232665062,0.1010558232665062
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,10,5207,text__word__invoicing,invoicing,text,0.13794107735157013,0.09344523400068283,0.09344523400068283
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,1,1256,text__word__billing details,billing details,text,0.13541743159294128,-0.33414921164512634,0.33414921164512634
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,2,9159,text__word__special,special,text,0.1670544594526291,-0.242120623588562,0.242120623588562
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,3,4598,text__word__industry,industry,text,0.12624166905879974,-0.21647638082504272,0.21647638082504272
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,4,9947,text__word__timelines,timelines,text,0.14368046820163727,-0.11193594336509705,0.11193594336509705
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,5,5078,text__word__interested understanding,interested understanding,text,0.10195228457450867,-0.05845097079873085,0.05845097079873085
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,6,13463,text__char__mes,[char] mes,text,0.029829150065779686,-0.05772347375750542,0.05772347375750542
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,7,14660,text__char__try.,[char] try.,text,0.05833360552787781,-0.053724516183137894,0.053724516183137894
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,8,14661,text__char__try. ,[char] try. ,text,0.05833360552787781,-0.053724516183137894,0.053724516183137894
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,9,6989,text__word__plans,plans,text,0.1040031909942627,-0.053025681525468826,0.053025681525468826
case_02,unanimous_correct_medium,logistic_regression,Logistic Regression,linear_baseline,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,10,7763,text__word__reaches well,reaches well,text,0.12484107166528702,-0.05057849362492561,0.05057849362492561
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,1,151,text__word__account management,account management,text,0.14956600964069366,0.7042208909988403,0.7042208909988403
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,2,15015,categorical__queue_Technical Support,Technical Support,queue,1.0,0.7032321095466614,0.7032321095466614
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,3,10985,text__word__ways,ways,text,0.1328556090593338,0.35979416966438293,0.35979416966438293
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,4,2871,text__word__disruption,disruption,text,0.10781589150428772,0.24168989062309265,0.24168989062309265
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,5,5758,text__word__log,log,text,0.1381816864013672,0.19882063567638397,0.19882063567638397
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,6,1575,text__word__centralized,centralized,text,0.1679391860961914,0.17268846929073334,0.17268846929073334
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,7,9477,text__word__substantial,substantial,text,0.12590444087982178,0.16442279517650604,0.16442279517650604
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,8,1576,text__word__centralized account,centralized account,text,0.16996510326862335,0.1617920845746994,0.1617920845746994
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,9,6704,text__word__outage,outage,text,0.16992373764514923,0.14060495793819427,0.14060495793819427
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,10,2762,text__word__different,different,text,0.1027321144938469,0.12793554365634918,0.12793554365634918
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,1,149,text__word__account,account,text,0.25107795000076294,-0.5223080515861511,0.5223080515861511
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,2,15001,categorical__type_Incident,Incident,type,1.0,-0.2552240192890167,0.2552240192890167
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,3,2717,text__word__devices,devices,text,0.07620551437139511,-0.11725558340549469,0.11725558340549469
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,4,2189,text__word__customer,customer,text,0.04827238991856575,-0.06976229697465897,0.06976229697465897
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,5,12353,text__char__date ,[char] date ,text,0.02925015054643154,-0.06238218769431114,0.06238218769431114
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,6,8769,text__word__settings,settings,text,0.07876382768154144,-0.060922738164663315,0.060922738164663315
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,7,13107,text__char__imes ,[char] imes ,text,0.045345745980739594,-0.06067435070872307,0.06067435070872307
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,8,458,text__word__alternative,alternative,text,0.13413800299167633,-0.060224588960409164,0.060224588960409164
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,9,13464,text__char__mes ,[char] mes ,text,0.04013776406645775,-0.05082715302705765,0.05082715302705765
case_03,unanimous_correct_high,logistic_regression,Logistic Regression,linear_baseline,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,10,10403,text__word__update,update,text,0.06847427040338516,-0.04716048762202263,0.04716048762202263
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,1,6082,text__word__meet expectations,meet expectations,text,0.15108585357666016,0.4692191183567047,0.4692191183567047
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,2,10594,text__word__usb,usb,text,0.13714554905891418,0.20171178877353668,0.20171178877353668
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,3,11076,text__word__wireless,wireless,text,0.14670982956886292,0.19890068471431732,0.19890068471431732
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,4,15001,categorical__type_Incident,Incident,type,1.0,0.08876840025186539,0.08876840025186539
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,5,7764,text__word__reaching,reaching,text,0.07687466591596603,0.07469739019870758,0.07469739019870758
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,6,4284,text__word__hub,hub,text,0.14360691606998444,0.07161393761634827,0.07161393761634827
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,7,143,text__word__accessories,accessories,text,0.16940847039222717,0.0650048479437828,0.0650048479437828
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,8,12883,text__char__gin,[char] gin,text,0.04648299142718315,0.0496491901576519,0.0496491901576519
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,9,12274,text__char__cka,[char] cka,text,0.047009166330099106,0.04703124612569809,0.04703124612569809
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,10,14165,text__char__riv,[char] riv,text,0.030991794541478157,0.04270873963832855,0.04270873963832855
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,1,3098,text__word__electronic,electronic,text,0.26092901825904846,-0.551881730556488,0.551881730556488
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,2,8262,text__word__return,return,text,0.23791371285915375,-0.15164034068584442,0.15164034068584442
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,3,6222,text__word__minor,minor,text,0.15494351089000702,-0.14978177845478058,0.14978177845478058
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,4,11077,text__word__wireless mouse,wireless mouse,text,0.18129530549049377,-0.11638213694095612,0.11638213694095612
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,5,1737,text__word__come,come,text,0.15672755241394043,-0.09209201484918594,0.09209201484918594
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,6,13605,text__char__nic,[char] nic,text,0.04565557837486267,-0.03463723510503769,0.03463723510503769
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,7,14807,text__char__urn,[char] urn,text,0.06265298277139664,-0.034529153257608414,0.034529153257608414
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,8,6081,text__word__meet,meet,text,0.10642670094966888,-0.0315333716571331,0.0315333716571331
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,9,14068,text__char__rd ,[char] rd ,text,0.019710566848516464,-0.024125130847096443,0.024125130847096443
case_04,typical_low_to_medium,logistic_regression,Logistic Regression,linear_baseline,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,10,12755,text__char__eve,[char] eve,text,0.018042221665382385,-0.022324388846755028,0.022324388846755028
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,1,11097,text__word__wohlbehalten schreibe,wohlbehalten schreibe,text,0.15996770560741425,0.2583019733428955,0.2583019733428955
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,2,15007,categorical__queue_Customer Service,Customer Service,queue,1.0,0.2403220683336258,0.2403220683336258
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,3,10211,text__word__umfassende,umfassende,text,0.11273083090782166,0.20705963671207428,0.20705963671207428
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,4,2242,text__word__daran interessiert,daran interessiert,text,0.10937650501728058,0.1806260645389557,0.1806260645389557
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,5,5066,text__word__interessiert mehr,interessiert mehr,text,0.1118335947394371,0.17547762393951416,0.17547762393951416
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,6,4782,text__word__insbesondere möchte,insbesondere möchte,text,0.14403851330280304,0.163297638297081,0.163297638297081
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,7,5925,text__word__marke,marke,text,0.1155635192990303,0.12974055111408234,0.12974055111408234
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,8,2240,text__word__daran,daran,text,0.09621497988700867,0.1295718252658844,0.1295718252658844
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,9,4689,text__word__informationen,informationen,text,0.10707922279834747,0.12151169776916504,0.12151169776916504
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,10,5531,text__word__kürzlich,kürzlich,text,0.10295882076025009,0.10893381386995316,0.10893381386995316
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,1,15003,categorical__type_Request,Request,type,1.0,-0.25599104166030884,0.25599104166030884
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,2,3277,text__word__erfahren,erfahren,text,0.14238125085830688,-0.2352178692817688,0.2352178692817688
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,3,8505,text__word__schreibe detaillierte,schreibe detaillierte,text,0.15550187230110168,-0.20002445578575134,0.20002445578575134
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,4,3432,text__word__eventuelle,eventuelle,text,0.13085009157657623,-0.05400919169187546,0.05400919169187546
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,5,5058,text__word__interessiert,interessiert,text,0.08600646257400513,-0.04154444858431816,0.04154444858431816
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,6,12690,text__char__err,[char] err,text,0.02102602645754814,-0.04089849814772606,0.04089849814772606
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,7,12154,text__char__bot,[char] bot,text,0.032327715307474136,-0.03535771742463112,0.03535771742463112
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,8,15004,categorical__language_de,de,language,1.0,-0.03488806635141373,0.03488806635141373
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,9,12487,text__char__ebo,[char] ebo,text,0.026131734251976013,-0.03354518860578537,0.03354518860578537
case_05,typical_high_to_medium,logistic_regression,Logistic Regression,linear_baseline,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,10,11429,text__char__ dien,[char]  dien,text,0.028920000419020653,-0.03019765578210354,0.03019765578210354
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,1,15015,categorical__queue_Technical Support,Technical Support,queue,1.0,0.7032321095466614,0.7032321095466614
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,2,7948,text__word__reibungslose integration,reibungslose integration,text,0.16477040946483612,0.3490268588066101,0.3490268588066101
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,3,15003,categorical__type_Request,Request,type,1.0,0.2615876793861389,0.2615876793861389
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,4,3266,text__word__entscheidend,entscheidend,text,0.11758612096309662,0.16461600363254547,0.16461600363254547
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,5,5450,text__word__komponenten,komponenten,text,0.15320666134357452,0.10163622349500656,0.10163622349500656
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,6,10761,text__word__verfügbaren,verfügbaren,text,0.10564883053302765,0.07707466185092926,0.07707466185092926
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,7,11620,text__char__ plat,[char]  plat,text,0.03362598642706871,0.045078229159116745,0.045078229159116745
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,8,14539,text__char__tech,[char] tech,text,0.03477667272090912,0.042806226760149,0.042806226760149
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,9,13314,text__char__latt,[char] latt,text,0.04603172838687897,0.04278069734573364,0.04278069734573364
case_06,critical_low_to_high,logistic_regression,Logistic Regression,linear_baseline,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,10,14279,text__char__ruktu,[char] ruktu,text,0.05036754161119461,0.04257223382592201,0.04257223382592201
