modeling_row_id,semantic_group_id,priority,priority_encoded,analysis_role,is_global_h2_case,is_faithfulness_case,is_xgboost_sensitivity_case,is_local_case,case_id,case_type,type,language,queue,sentiment_negative,sentiment_neutral,sentiment_positive,text,text_clean,pred_logistic_regression,pred_linear_svm,pred_complement_naive_bayes,pred_knn_cosine,pred_random_forest,pred_xgboost,pred_lightgbm,pred_final_model
4014,651a2e4cf43ecedf03ccff9fa2afe5342d54cc59,high,2,global_h2,True,False,False,False,,,Change,en,Service Outages and Maintenance,0.21966547,0.39101392,0.38932064,"Urgent Request for System Update to Enhance Investment Data Analytics Dear Customer Support, I am writing to urgently request a system update aimed at optimizing investment data analytics. Our current system is facing persistent software and hardware outages, leading to substantial downtime and loss of productivity. Implementing this update is critical to resolving these issues and ensuring smooth operations. I would appreciate it if you could provide an estimated timeline for the update and let me know if any additional information is needed from my side. Please inform me of the necessary steps to proceed. Looking forward to your prompt response.","urgent request for system update to enhance investment data analytics dear customer support, i am writing to urgently request a system update aimed at optimizing investment data analytics. our current system is facing persistent software and hardware outages, leading to substantial downtime and loss of productivity. implementing this update is critical to resolving these issues and ensuring smooth operations. i would appreciate it if you could provide an estimated timeline for the update and let me know if any additional information is needed from my side. please inform me of the necessary steps to proceed. looking forward to your prompt response.",2,2,2,2,2,2,2,2
4436,b3c8105bb56c0b66410287999c1154186c9a439a,high,2,global_h2,True,False,False,False,,,Problem,en,Technical Support,0.37609154,0.45731342,0.16659509,"Customer Support, I am writing to draw attention to a critical issue that necessitates immediate technical assistance. The healthcare provider's hospital systems have experienced unauthorized access attempts to their medical data, which we believe are due to weak access controls. We have taken initial measures such as implementing basic firewall rules and updating passwords. However, the intrusion attempts continue. It is crucial to secure the systems to prevent any potential data breaches. I","customer support, i am writing to draw attention to a critical issue that necessitates immediate technical assistance. the healthcare provider's hospital systems have experienced unauthorized access attempts to their medical data, which we believe are due to weak access controls. we have taken initial measures such as implementing basic firewall rules and updating passwords. however, the intrusion attempts continue. it is crucial to secure the systems to prevent any potential data breaches. i",2,2,2,2,2,2,2,2
4604,5305f76c36ad6c2648e8b26b286cc97151073fb3,high,2,global_h2,True,True,False,False,,,Problem,en,Technical Support,0.54690164,0.3443862,0.10871226,"Performance Challenges in SaaS Application Customer Support reports frequent performance declines in the SaaS platform, especially during peak usage periods. The issue appears to be linked to database overload, correlating with a substantial increase in the user base over the past quarter. Although efforts to scale servers and optimize database queries have resulted in some performance stabilization, users continue to face slow loading speeds, error messages, and timeouts, which impact the overall user experience. Your assistance in addressing these concerns would be highly valued.","performance challenges in saas application customer support reports frequent performance declines in the saas platform, especially during peak usage periods. the issue appears to be linked to database overload, correlating with a substantial increase in the user base over the past quarter. although efforts to scale servers and optimize database queries have resulted in some performance stabilization, users continue to face slow loading speeds, error messages, and timeouts, which impact the overall user experience. your assistance in addressing these concerns would be highly valued.",2,2,2,2,2,2,2,2
4715,393d3b6c66b97d0d247304537993f3ba7dbb0c71,high,2,global_h2,True,False,False,False,,,Incident,en,Technical Support,0.8240423,0.14919546,0.026762197,"Investment Analysis Disrupted by Data Integration Issues The company faced disruptions in investment analysis due to failures in data integration. Potential reasons might be software conflicts or API errors. Attempts to resolve included system restarts and connection checks, but the problem persists. The team has verified software updates and secured connections, yet the issue remains unresolved, preventing investment analysis. We would appreciate prompt assistance in resolving this matter. Please advise if further information is needed.","investment analysis disrupted by data integration issues the company faced disruptions in investment analysis due to failures in data integration. potential reasons might be software conflicts or api errors. attempts to resolve included system restarts and connection checks, but the problem persists. the team has verified software updates and secured connections, yet the issue remains unresolved, preventing investment analysis. we would appreciate prompt assistance in resolving this matter. please advise if further information is needed.",1,2,2,2,2,2,2,2
5286,a8dee2351f813b1c24e370594f7441c153de3ee8,high,2,global_h2,True,True,False,False,,,Incident,de,Product Support,0.5921596,0.3595656,0.048274748,"Die digitalen Kampagnen der Marketingagentur wurden gestoppt. Die erste Fehlerbehebung bestand darin, die Software neu zu starten und die Kompatibilität zu überprüfen. Das Problem besteht weiterhin, daher wird weitere Unterstützung benötigt, um die Ursache zu beheben.","die digitalen kampagnen der marketingagentur wurden gestoppt. die erste fehlerbehebung bestand darin, die software neu zu starten und die kompatibilität zu überprüfen. das problem besteht weiterhin, daher wird weitere unterstützung benötigt, um die ursache zu beheben.",0,0,0,0,1,1,0,0
5344,49708eeb2c3c848f34817b321ad876b3b862a55c,high,2,global_h2,True,True,False,False,,,Incident,en,Technical Support,0.5083135,0.3299226,0.161764,"Report on Healthcare Security Breach Dear Customer Support, I am writing to report a security breach involving unauthorized access to patient records at a healthcare facility. Despite initial efforts to resolve the issue, including updating the firewall and running a virus scan with Norton Antivirus, the problem persists. I suspect that outdated security protocols may be the underlying cause. I would appreciate your guidance on how to proceed with troubleshooting and potential solutions to prevent similar incidents in the future. Could you please provide recommendations for security upgrades? Thank you.","report on healthcare security breach dear customer support, i am writing to report a security breach involving unauthorized access to patient records at a healthcare facility. despite initial efforts to resolve the issue, including updating the firewall and running a virus scan with norton antivirus, the problem persists. i suspect that outdated security protocols may be the underlying cause. i would appreciate your guidance on how to proceed with troubleshooting and potential solutions to prevent similar incidents in the future. could you please provide recommendations for security upgrades? thank you.",2,2,2,2,1,1,1,1
6041,9a0de69fe057adf4ba72409ab41b240958770989,high,2,global_h2,True,False,True,False,,,Problem,en,Billing and Payments,0.33845812,0.34363157,0.31791028,"Inconsistencies in Investment Data Customer Support, the company encountered unforeseen billing inconsistencies related to the investment data analytics service. These issues may stem from errors in system integration. Manual reconciliation of invoices was attempted but proved unsuccessful. Efforts to review the invoices and payment records still show discrepancies. We would be grateful if you could examine this matter and provide a detailed explanation for the discrepancies. If system integration errors are involved, kindly inform us of the steps to resolve the problem.","inconsistencies in investment data customer support, the company encountered unforeseen billing inconsistencies related to the investment data analytics service. these issues may stem from errors in system integration. manual reconciliation of invoices was attempted but proved unsuccessful. efforts to review the invoices and payment records still show discrepancies. we would be grateful if you could examine this matter and provide a detailed explanation for the discrepancies. if system integration errors are involved, kindly inform us of the steps to resolve the problem.",0,2,1,1,1,1,2,2
6192,00e50d2cd282e183e66a8f249c15c9410ddb3a6c,high,2,global_h2,True,True,False,False,,,Request,en,Technical Support,0.03891378,0.77593964,0.18514657,Healthcare Data Management in PostgreSQL Requesting assistance with integrating healthcare data into PostgreSQL.,healthcare data management in postgresql requesting assistance with integrating healthcare data into postgresql.,2,2,2,2,2,2,2,2
6510,8aab872e22b27a1ae6d97ce4adb559f9086027ea,high,2,global_h2,True,True,False,False,,,Request,en,Product Support,0.104480244,0.42061126,0.47490844,"Support for Data Analytics Tools I am seeking assistance with data analytics tools that can help optimize my investments. Could you provide more details on the tools available and the kind of guidance offered? I am particularly interested in learning about the types of data analytics used, the kind of support provided, and any tutorials or resources available to help me get started. I am looking for a reliable and user-friendly tool that can help me optimize my investments. I would appreciate it if you could provide me with this information.","support for data analytics tools i am seeking assistance with data analytics tools that can help optimize my investments. could you provide more details on the tools available and the kind of guidance offered? i am particularly interested in learning about the types of data analytics used, the kind of support provided, and any tutorials or resources available to help me get started. i am looking for a reliable and user-friendly tool that can help me optimize my investments. i would appreciate it if you could provide me with this information.",2,2,0,2,2,1,2,2
7079,01d0da670e9ecb3ef81891cd0ea398245da12506,high,2,global_h2,True,True,False,False,,,Incident,en,IT Support,0.8604276,0.1181082,0.021464208,"Digital Tool Malfunction Dear Customer Support, I am writing to report a critical issue impacting our marketing agency's operations. Several essential digital tools, such as Snagit, Firewall, and Xero, have become unresponsive. I suspect this may be due to conflicts within the network software. Our initial troubleshooting included restarting devices and verifying firewall configurations, but the problem persists. Consequently, our brand growth activities are significantly hindered, and we are unable to complete tasks efficiently, leading to a notable decline in productivity.","digital tool malfunction dear customer support, i am writing to report a critical issue impacting our marketing agency's operations. several essential digital tools, such as snagit, firewall, and xero, have become unresponsive. i suspect this may be due to conflicts within the network software. our initial troubleshooting included restarting devices and verifying firewall configurations, but the problem persists. consequently, our brand growth activities are significantly hindered, and we are unable to complete tasks efficiently, leading to a notable decline in productivity.",2,2,2,1,2,1,2,2
7093,daafceb98aabca098d0e9d687b5793fbb6155259,high,2,global_h2,True,False,False,False,,,Request,en,Technical Support,0.06401961,0.25866455,0.67731583,"Guidance on Integrating RapidMiner into Current Data Analytics Setup Customer Support, seeking detailed guidance on integrating RapidMiner into our existing data analytics infrastructure. We are currently using a combination of various tools and would like to incorporate RapidMiner into our workflow. Could you please provide step-by-step instructions? We would greatly appreciate any guidance on handling data transfer compatibility issues. Your assistance is much appreciated, and we look forward to hearing from you soon.","guidance on integrating rapidminer into current data analytics setup customer support, seeking detailed guidance on integrating rapidminer into our existing data analytics infrastructure. we are currently using a combination of various tools and would like to incorporate rapidminer into our workflow. could you please provide step-by-step instructions? we would greatly appreciate any guidance on handling data transfer compatibility issues. your assistance is much appreciated, and we look forward to hearing from you soon.",2,2,1,2,2,2,2,2
8303,d57eec7d56d62288384450c7210b423745262a90,high,2,global_h2,True,True,False,False,,,Incident,en,IT Support,0.8775865,0.10132435,0.021089077,"Unresponsive Digital Tools and Update Request The marketing team's digital platforms, such as Moodle, GitHub, and PowerPoint 2021, are not responding. The issue appears to be related to network software problems. After restarting devices and verifying internet connectivity, the problem remains unresolved. The team has attempted troubleshooting but has been unable to fix the issue. This unresponsiveness is causing substantial delays in ongoing projects. We would appreciate your assistance in resolving this matter promptly. Please advise us on any additional steps we should take.","unresponsive digital tools and update request the marketing team's digital platforms, such as moodle, github, and powerpoint 2021, are not responding. the issue appears to be related to network software problems. after restarting devices and verifying internet connectivity, the problem remains unresolved. the team has attempted troubleshooting but has been unable to fix the issue. this unresponsiveness is causing substantial delays in ongoing projects. we would appreciate your assistance in resolving this matter promptly. please advise us on any additional steps we should take.",2,2,2,2,1,2,2,2
8486,66850a7e2573ee76a1266686f1478ce6ab07eb85,high,2,global_h2,True,False,False,False,,,Incident,en,Technical Support,0.7445706,0.22378208,0.031647276,SaaS Platform Faced considerable downtime due to server overload.,saas platform faced considerable downtime due to server overload.,2,2,2,2,2,2,2,2
9402,78901fad0d9f680ae733bfb1d0b3b885f7c53da5,high,2,global_h2,True,True,False,False,,,Request,de,Technical Support,0.18829645,0.3935834,0.41812018,"Bitte fordern Sie detaillierte API-Integrationsrichtlinien für Avast Premium Security in Verbindung mit Docker 20.10 an. Ich möchte den schrittweisen Prozess zur Integration beider Systeme kennenlernen. Könnten Sie bitte die notwendigen Dokumentationen bereitstellen oder auf Ressourcen verweisen, die bei der Integration behilflich sein können? Ich schätze Ihre Unterstützung sehr und danke Ihnen im Voraus für Ihre Hilfe.","bitte fordern sie detaillierte api-integrationsrichtlinien für avast premium security in verbindung mit docker 20.10 an. ich möchte den schrittweisen prozess zur integration beider systeme kennenlernen. könnten sie bitte die notwendigen dokumentationen bereitstellen oder auf ressourcen verweisen, die bei der integration behilflich sein können? ich schätze ihre unterstützung sehr und danke ihnen im voraus für ihre hilfe.",2,2,2,2,2,2,2,2
9876,74d78ced0bc488b6e1f23c1ff30418bb0d5bef2b,high,2,global_h2,True,False,False,False,,,Incident,en,Product Support,0.59302264,0.35977072,0.047206648,Data analytics workflows encountering hardware performance issues across multiple products Faced several failures across different products. Attempted to resolve by rebooting systems and applying software updates.,data analytics workflows encountering hardware performance issues across multiple products faced several failures across different products. attempted to resolve by rebooting systems and applying software updates.,2,2,2,2,2,2,2,2
9973,e4df5950aab34c0ca3efed5c8509d91553babb22,high,2,global_h2,True,True,True,False,,,Problem,de,Technical Support,0.6839719,0.29156962,0.024458552,Softwareabsturz während der Ausführung digitaler Kampagnen Ich benötige Unterstützung,softwareabsturz während der ausführung digitaler kampagnen ich benötige unterstützung,2,2,2,2,2,2,2,2
10195,6908c79a9053c2151f2a4db031c2083655235c67,high,2,global_h2,True,True,False,False,,,Change,en,Technical Support,0.07952302,0.20573595,0.714741,"Boost Security Protocols for Medical Data Systems Customer Support, seeking to enhance security measures for medical data systems to comply with healthcare regulations. It is crucial to protect sensitive patient information and prevent data breaches. Your assistance in implementing robust security protocols, such as encryption and access controls, would be greatly appreciated. Additionally, regular security audits and staff training are essential to ensure compliance with regulatory requirements. I look forward to your response.","boost security protocols for medical data systems customer support, seeking to enhance security measures for medical data systems to comply with healthcare regulations. it is crucial to protect sensitive patient information and prevent data breaches. your assistance in implementing robust security protocols, such as encryption and access controls, would be greatly appreciated. additionally, regular security audits and staff training are essential to ensure compliance with regulatory requirements. i look forward to your response.",2,2,2,2,2,2,2,2
10864,d50f12c701550d48bacdb528d59ac5db96a0f698,high,2,global_h2,True,False,False,False,,,Request,en,Billing and Payments,0.0943178,0.30489045,0.60079175,"Enhancing Security for Medical Data with SAP WooCommerce I am reaching out to inquire about securing medical data using SAP ERP WooCommerce. Could you provide detailed information on the practices and protocols that ensure the confidentiality, integrity, and availability of sensitive medical information? I would greatly appreciate your guidance on implementing robust security measures to protect patient data. Additionally, could you recommend specific configurations and plugins for WooCommerce to ensure compliance with healthcare regulations? Your assistance would be greatly appreciated, and I look forward to hearing back soon. Please provide an appropriate time to call at <tel_num> for this discussion.","enhancing security for medical data with sap woocommerce i am reaching out to inquire about securing medical data using sap erp woocommerce. could you provide detailed information on the practices and protocols that ensure the confidentiality, integrity, and availability of sensitive medical information? i would greatly appreciate your guidance on implementing robust security measures to protect patient data. additionally, could you recommend specific configurations and plugins for woocommerce to ensure compliance with healthcare regulations? your assistance would be greatly appreciated, and i look forward to hearing back soon. please provide an appropriate time to call at <tel_num> for this discussion.",2,2,1,1,1,1,1,2
10872,56a076a9a528ea22ea383b1f149ce3f05fa3ff11,high,2,global_h2,True,False,False,False,,,Change,en,Service Outages and Maintenance,0.25233382,0.4462892,0.30137706,"Strengthened Security for Medical Data Customer Support, I am writing to draw your attention to the need for implementing enhanced security protocols to safeguard medical data across all affected software and hardware systems. Given the sensitive nature of the medical information, robust protection measures are essential to prevent unauthorized access, breaches, and data loss. To achieve this, it is crucial to conduct a thorough risk assessment to identify vulnerabilities in the current systems. We should then follow up with the implementation of advanced encryption technologies.","strengthened security for medical data customer support, i am writing to draw your attention to the need for implementing enhanced security protocols to safeguard medical data across all affected software and hardware systems. given the sensitive nature of the medical information, robust protection measures are essential to prevent unauthorized access, breaches, and data loss. to achieve this, it is crucial to conduct a thorough risk assessment to identify vulnerabilities in the current systems. we should then follow up with the implementation of advanced encryption technologies.",2,2,2,2,2,2,2,2
11095,b6c86bf692b1afe4d2eed67b8cfbc16f52397dfb,high,2,global_h2,True,False,False,False,,,Request,en,Billing and Payments,0.06207013,0.30707017,0.6308597,"Secure Medical Data Services Customer Support, seeking clarification on the security measures your company employs to safeguard medical data through our services. Kindly furnish comprehensive details on the protocols and technologies utilized to ensure the protection of sensitive medical information. This should include data encryption methods, access control mechanisms, and compliance with relevant regulations such as HIPAA. Also, any additional resources or documentation that outline your approach to securing medical data would be appreciated. Thank you for your prompt assistance, and I look forward to your response.","secure medical data services customer support, seeking clarification on the security measures your company employs to safeguard medical data through our services. kindly furnish comprehensive details on the protocols and technologies utilized to ensure the protection of sensitive medical information. this should include data encryption methods, access control mechanisms, and compliance with relevant regulations such as hipaa. also, any additional resources or documentation that outline your approach to securing medical data would be appreciated. thank you for your prompt assistance, and i look forward to your response.",0,0,0,2,1,0,2,2
11106,491c0dacbdc0b4c4710d9df60b224b1acce43f6a,high,2,global_h2,True,False,True,False,,,Incident,en,IT Support,0.7112356,0.255158,0.033606417,Problem with Netgear Nighthawk Mesh We have encountered connectivity problems with the Netgear Nighthawk Mesh Wi-Fi after the recent software update. Rebooting and adjusting network settings did not resolve the issue. We need help to restore connectivity.,problem with netgear nighthawk mesh we have encountered connectivity problems with the netgear nighthawk mesh wi-fi after the recent software update. rebooting and adjusting network settings did not resolve the issue. we need help to restore connectivity.,2,2,2,2,2,1,1,1
11767,0cd7deef4b386b6546352b6700dddb17c54130a9,high,2,global_h2,True,False,True,False,,,Incident,en,Technical Support,0.5814671,0.3888094,0.029723521,Issue with Laravel Application We are experiencing connection issues with our Laravel application.,issue with laravel application we are experiencing connection issues with our laravel application.,2,2,2,1,2,2,2,2
11880,76811a1c1fba8137210735dafaa88ad06699d6b0,high,2,global_h2,True,False,False,False,,,Incident,en,IT Support,0.6996077,0.24438316,0.056009192,"A data breach incident has occurred, potentially compromising sensitive medical data due to a malware attack on outdated software systems. Despite immediately scanning the systems with Malwarebytes updated software, the threats have persisted. Ongoing investigations are being conducted to secure network systems and prevent future incidents. We are working diligently to resolve the issue and ensure the security of our systems.","a data breach incident has occurred, potentially compromising sensitive medical data due to a malware attack on outdated software systems. despite immediately scanning the systems with malwarebytes updated software, the threats have persisted. ongoing investigations are being conducted to secure network systems and prevent future incidents. we are working diligently to resolve the issue and ensure the security of our systems.",2,2,2,1,2,2,2,2
12124,c9fba599292eaa3a23f7def14eb3b0083d5da462,high,2,global_h2,True,False,True,False,,,Change,de,Technical Support,0.051276222,0.70151085,0.24721287,"Optimierung von Integrationsmöglichkeiten Ich möchte eine Erweiterung der Integrationsmöglichkeiten für einen flüssigen Datenaustausch zwischen Maple, SAP ERP und den betroffenen Produkten anfordern. Ziel ist es, die Gesamteffizienz und Produktivität zu verbessern.","optimierung von integrationsmöglichkeiten ich möchte eine erweiterung der integrationsmöglichkeiten für einen flüssigen datenaustausch zwischen maple, sap erp und den betroffenen produkten anfordern. ziel ist es, die gesamteffizienz und produktivität zu verbessern.",2,2,2,2,2,2,2,2
