case_id,case_type,feature_set,model,model_label,modeling_row_id,semantic_group_id,actual_class,predicted_class,direction,rank,feature_index,feature_name,feature_label,feature_group,feature_value,shap_value,abs_shap_value
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,1,13946,text__char__plat,[char] plat,text,0.022208910435438156,-0.09234291315078735,0.09234291315078735
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,2,14587,text__char__tform,[char] tform,text,0.022285502403974533,-0.08021128177642822,0.08021128177642822
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,3,11620,text__char__ plat,[char]  plat,text,0.02335776388645172,-0.03105975314974785,0.03105975314974785
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,4,14585,text__char__tfo,[char] tfo,text,0.0218853447586298,-0.027710409834980965,0.027710409834980965
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,5,14368,text__char__sha,[char] sha,text,0.03516634181141853,-0.023128386586904526,0.023128386586904526
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,6,13864,text__char__ould ,[char] ould ,text,0.0389382541179657,-0.02180015668272972,0.02180015668272972
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,7,11711,text__char__ sys,[char]  sys,text,0.030752545222640038,-0.02115456387400627,0.02115456387400627
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,8,12065,text__char__atf,[char] atf,text,0.024896658957004547,-0.01850941590964794,0.01850941590964794
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,9,13862,text__char__oul,[char] oul,text,0.03893585503101349,-0.01688198558986187,0.01688198558986187
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,10,11145,text__word__would,would,text,0.0714634582400322,-0.014062734320759773,0.014062734320759773
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,1,251,text__word__additionally please,additionally please,text,0.13390468060970306,0.5804290771484375,0.5804290771484375
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,2,2666,text__word__details payment,details payment,text,0.1616174429655075,0.489364355802536,0.489364355802536
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,3,11520,text__char__ invo,[char]  invo,text,0.03179391846060753,0.09072810411453247,0.09072810411453247
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,4,2828,text__word__discounts,discounts,text,0.1103324294090271,0.08067981898784637,0.08067981898784637
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,5,14655,text__char__tru,[char] tru,text,0.029532013460993767,0.04688316211104393,0.04688316211104393
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,6,11721,text__char__ thei,[char]  thei,text,0.03558657318353653,0.04255484417080879,0.04255484417080879
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,7,6700,text__word__organizations,organizations,text,0.14494089782238007,0.034292906522750854,0.034292906522750854
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,8,11597,text__char__ on ,[char]  on ,text,0.017284180968999863,0.029536647722125053,0.029536647722125053
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,9,12561,text__char__eir,[char] eir,text,0.03558657318353653,0.027010615915060043,0.027010615915060043
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,supports_prediction,10,15006,categorical__queue_Billing and Payments,Billing and Payments,queue,1.0,0.021036583930253983,0.021036583930253983
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,1,13194,text__char__iscou,[char] iscou,text,0.04432132840156555,-0.06000376492738724,0.06000376492738724
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,2,4598,text__word__industry,industry,text,0.12624166905879974,-0.054940707981586456,0.054940707981586456
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,3,1256,text__word__billing details,billing details,text,0.13541743159294128,-0.04202777519822121,0.04202777519822121
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,4,14660,text__char__try.,[char] try.,text,0.05833360552787781,-0.0419180691242218,0.0419180691242218
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,5,12414,text__char__disco,[char] disco,text,0.04016633331775665,-0.03487149998545647,0.03487149998545647
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,6,11614,text__char__ paym,[char]  paym,text,0.06233188882470131,-0.02673974819481373,0.02673974819481373
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,7,12858,text__char__ge ,[char] ge ,text,0.02077784389257431,-0.01842266507446766,0.01842266507446766
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,8,8709,text__word__services,services,text,0.07020249962806702,-0.01311009656637907,0.01311009656637907
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,9,15017,sentiment__sentiment_neutral,sentiment_neutral,sentiment,0.4229707717895508,-0.010416468605399132,0.010416468605399132
case_02,unanimous_correct_medium,FS5,lightgbm,LightGBM,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,medium,opposes_prediction,10,11317,text__char__ a ,[char]  a ,text,0.016720831394195557,-0.008956709876656532,0.008956709876656532
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,1,151,text__word__account management,account management,text,0.14956600964069366,0.8403891324996948,0.8403891324996948
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,2,15015,categorical__queue_Technical Support,Technical Support,queue,1.0,0.532924473285675,0.532924473285675
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,3,10985,text__word__ways,ways,text,0.1328556090593338,0.2971879243850708,0.2971879243850708
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,4,12432,text__char__dow,[char] dow,text,0.03583039715886116,0.15843626856803894,0.15843626856803894
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,5,8910,text__word__significant,significant,text,0.08917856961488724,0.15809929370880127,0.15809929370880127
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,6,12175,text__char__bst,[char] bst,text,0.0433475561439991,0.10128560662269592,0.10128560662269592
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,7,11604,text__char__ outa,[char]  outa,text,0.0607261098921299,0.07388342916965485,0.07388342916965485
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,8,14824,text__char__utag,[char] utag,text,0.06068610027432442,0.06062784045934677,0.06062784045934677
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,9,9929,text__word__time,time,text,0.07407880574464798,0.05408215522766113,0.05408215522766113
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,supports_prediction,10,13917,text__char__pea,[char] pea,text,0.03377703204751015,0.04984327405691147,0.04984327405691147
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,1,13535,text__char__nati,[char] nati,text,0.044422052800655365,-0.1791004091501236,0.1791004091501236
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,2,2189,text__word__customer,customer,text,0.04827238991856575,-0.1157894879579544,0.1157894879579544
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,3,829,text__word__attempted,attempted,text,0.07806918025016785,-0.048206303268671036,0.048206303268671036
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,4,12353,text__char__date ,[char] date ,text,0.02925015054643154,-0.029991358518600464,0.029991358518600464
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,5,13464,text__char__mes ,[char] mes ,text,0.04013776406645775,-0.026077784597873688,0.026077784597873688
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,6,14439,text__char__sta,[char] sta,text,0.023082837462425232,-0.02473919838666916,0.02473919838666916
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,7,2023,text__word__could,could,text,0.04647925868630409,-0.02320241928100586,0.02320241928100586
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,8,12820,text__char__fli,[char] fli,text,0.030220486223697662,-0.021694397553801537,0.021694397553801537
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,9,149,text__word__account,account,text,0.25107795000076294,-0.019759200513362885,0.019759200513362885
case_03,unanimous_correct_high,FS5,lightgbm,LightGBM,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,high,opposes_prediction,10,14789,text__char__upt,[char] upt,text,0.028958037495613098,-0.016533080488443375,0.016533080488443375
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,1,6082,text__word__meet expectations,meet expectations,text,0.15108585357666016,0.3606845438480377,0.3606845438480377
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,2,12883,text__char__gin,[char] gin,text,0.04648299142718315,0.158779576420784,0.158779576420784
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,3,10594,text__word__usb,usb,text,0.13714554905891418,0.03339976444840431,0.03339976444840431
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,4,14165,text__char__riv,[char] riv,text,0.030991794541478157,0.02366427332162857,0.02366427332162857
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,5,15001,categorical__type_Incident,Incident,type,1.0,0.012006014585494995,0.012006014585494995
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,6,13038,text__char__ic ,[char] ic ,text,0.0425027497112751,0.010933191515505314,0.010933191515505314
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,7,11444,text__char__ dur,[char]  dur,text,0.02049313485622406,0.010789514519274235,0.010789514519274235
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,8,13691,text__char__ntly ,[char] ntly ,text,0.0237160325050354,0.009226559661328793,0.009226559661328793
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,9,14580,text__char__tes,[char] tes,text,0.01724960282444954,0.007307802326977253,0.007307802326977253
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,supports_prediction,10,12001,text__char__ard,[char] ard,text,0.03570910170674324,0.006003630813211203,0.006003630813211203
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,1,3098,text__word__electronic,electronic,text,0.26092901825904846,-0.10788969695568085,0.10788969695568085
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,2,14807,text__char__urn,[char] urn,text,0.06265298277139664,-0.0765094980597496,0.0765094980597496
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,3,1737,text__word__come,come,text,0.15672755241394043,-0.040634773671627045,0.040634773671627045
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,4,15017,sentiment__sentiment_neutral,sentiment_neutral,sentiment,0.3566291630268097,-0.010958866216242313,0.010958866216242313
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,5,12955,text__char__hes,[char] hes,text,0.01767810620367527,-0.0059231542982161045,0.0059231542982161045
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,6,12417,text__char__diti,[char] diti,text,0.020838212221860886,-0.002671838505193591,0.002671838505193591
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,7,12118,text__char__bee,[char] bee,text,0.0188343096524477,-0.002095572417601943,0.002095572417601943
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,8,12328,text__char__ctio,[char] ctio,text,0.02021823823451996,-0.0012088411021977663,0.0012088411021977663
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,9,11441,text__char__ dri,[char]  dri,text,0.02815420925617218,-0.0011427730787545443,0.0011427730787545443
case_04,typical_low_to_medium,FS5,lightgbm,LightGBM,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,medium,opposes_prediction,10,13605,text__char__nic,[char] nic,text,0.04565557837486267,-0.0011022707913070917,0.0011022707913070917
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,1,15007,categorical__queue_Customer Service,Customer Service,queue,1.0,0.37926962971687317,0.37926962971687317
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,2,11998,text__char__aran ,[char] aran ,text,0.03691352158784866,0.15324778854846954,0.15324778854846954
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,3,2240,text__word__daran,daran,text,0.09621497988700867,0.09971988201141357,0.09971988201141357
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,4,14037,text__char__ran ,[char] ran ,text,0.036878522485494614,0.04499600827693939,0.04499600827693939
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,5,5066,text__word__interessiert mehr,interessiert mehr,text,0.1118335947394371,0.041113365441560745,0.041113365441560745
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,6,4689,text__word__informationen,informationen,text,0.10707922279834747,0.030239930376410484,0.030239930376410484
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,7,5514,text__word__könnten bitte,könnten bitte,text,0.07815998047590256,0.029515990987420082,0.029515990987420082
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,8,13457,text__char__mehr ,[char] mehr ,text,0.04461789131164551,0.027314623817801476,0.027314623817801476
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,9,13785,text__char__one,[char] one,text,0.038738273084163666,0.01369384303689003,0.01369384303689003
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,supports_prediction,10,11366,text__char__ bin,[char]  bin,text,0.031069330871105194,0.01293123047798872,0.01293123047798872
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,1,3277,text__word__erfahren,erfahren,text,0.14238125085830688,-0.08922405540943146,0.08922405540943146
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,2,15003,categorical__type_Request,Request,type,1.0,-0.019646627828478813,0.019646627828478813
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,3,12690,text__char__err,[char] err,text,0.02102602645754814,-0.01724066026508808,0.01724066026508808
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,4,13127,text__char__infor,[char] infor,text,0.022866426035761833,-0.013690058141946793,0.013690058141946793
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,5,13125,text__char__inen ,[char] inen ,text,0.025513464584946632,-0.011900514364242554,0.011900514364242554
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,6,12581,text__char__em ,[char] em ,text,0.012241079472005367,-0.01007287297397852,0.01007287297397852
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,7,12736,text__char__eta,[char] eta,text,0.01625671051442623,-0.003117886371910572,0.003117886371910572
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,8,12058,text__char__ateg,[char] ateg,text,0.017519328743219376,-0.0028136156033724546,0.0028136156033724546
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,9,14448,text__char__ste,[char] ste,text,0.01635933667421341,-0.001969221280887723,0.001969221280887723
case_05,typical_high_to_medium,FS5,lightgbm,LightGBM,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,low,opposes_prediction,10,1158,text__word__bereitstellen,bereitstellen,text,0.07730682939291,-0.0015826805029064417,0.0015826805029064417
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,1,15015,categorical__queue_Technical Support,Technical Support,queue,1.0,0.6567567586898804,0.6567567586898804
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,2,15003,categorical__type_Request,Request,type,1.0,0.09120916575193405,0.09120916575193405
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,3,13314,text__char__latt,[char] latt,text,0.04603172838687897,0.07099034637212753,0.07099034637212753
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,4,13384,text__char__los,[char] los,text,0.024666786193847656,0.04879729077219963,0.04879729077219963
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,5,14277,text__char__ruk,[char] ruk,text,0.05036754161119461,0.048098254948854446,0.048098254948854446
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,6,4689,text__word__informationen,informationen,text,0.10637269169092178,0.04599132016301155,0.04599132016301155
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,7,14467,text__char__stru,[char] stru,text,0.0363125242292881,0.03206236660480499,0.03206236660480499
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,8,14655,text__char__tru,[char] tru,text,0.03561234474182129,0.027857352048158646,0.027857352048158646
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,9,586,text__word__anfrage,anfrage,text,0.0860021561384201,0.02770364284515381,0.02770364284515381
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,supports_prediction,10,14448,text__char__ste,[char] ste,text,0.02313232421875,0.01961170695722103,0.01961170695722103
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,opposes_prediction,1,1178,text__word__besonders,besonders,text,0.10051917284727097,-0.19697324931621552,0.19697324931621552
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,opposes_prediction,2,12581,text__char__em ,[char] em ,text,0.017773982137441635,-0.0404222272336483,0.0404222272336483
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,opposes_prediction,3,15017,sentiment__sentiment_neutral,sentiment_neutral,sentiment,0.7358295321464539,-0.027735697105526924,0.027735697105526924
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,opposes_prediction,4,11513,text__char__ info,[char]  info,text,0.019756095483899117,-0.02651998959481716,0.02651998959481716
case_06,critical_low_to_high,FS5,lightgbm,LightGBM,8,66db6625b564da4549986df74e6db441a323c089,low,high,opposes_prediction,5,15018,sentiment__sentiment_positive,sentiment_positive,sentiment,0.147565558552742,-0.01890997588634491,0.01890997588634491
