review_id,language_review_group,source_row_id,version,declared_language,detected_language,language_confidence,text,manual_language,manual_assessment,review_comment,evaluator_role,author_confirmation,manual_language_name
19,confident_mismatch,13627,400,de,en,0.9999983925739874,"Issues with Analytical Tool The marketing analytical tool is currently affecting campaign reporting due to a server outage. I have tried restarting the application and clearing the cache, but the issue persists. Please help us resolve this problem quickly.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
20,confident_mismatch,6744,52,de,en,0.9999975576522252,"Report on Data Access Issue Healthcare provider encounters data access errors, affecting the hospital's IT systems, potentially due to conflicts from recent software updates. Attempts to resolve the issue included system restarts and rollbacks to previous versions, which were successful.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
21,confident_match,2907,52,en,en,0.999997886097756,"Billing System Discrepancies A marketing agency has encountered unexpected billing inconsistencies impacting several software and hardware products. These discrepancies are likely due to system integration errors affecting payment processing. Despite efforts to reconcile invoices and reach out to support, the issue persists. The agency is seeking assistance to resolve these discrepancies and prevent future issues. A comprehensive review of the payment processing system is necessary to identify and correct the integration errors. The agency looks forward to your response.",en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
22,confident_match,18148,400,en,en,0.99999647456685,"Problem with Website Outage Hello Customer Support, our marketing agency's website is currently experiencing downtime, which is impacting brand visibility and sales. It may be due to server overload or misconfigured plugins. We have already restarted the server, cleared the cache, and disabled any recent updates, but the issue still persists. This website downtime is causing significant financial loss in terms of potential customer revenue. We would greatly appreciate it if you could look into this matter urgently and provide a solution to get the website running as soon as possible. Please let us know.",en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
23,confident_match,20064,400,de,de,0.999996400654075,"Hilfe bei Datenbanken Könnten Sie Informationen zu unserer Frage liefern? Oracle Datenbank 19c könnte für die digitale Strategie und Markenwachstum von Chancen erfüllen. Ich bin daran interessiert, mehr über die möglichen Vorteile und deren Unterstützung für die Firma zu erfahren.",de,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,German
24,confident_match,27213,400,en,en,0.9999975561025192,Data Protection Security Request to improve security measures for medical data,en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
25,confident_match,10693,400,en,en,0.9999982585726384,Support for Optimizing Investment Analysis with MATLAB and Zoho CRM Looking for assistance in optimizing investment analysis using MATLAB and Zoho CRM for data analytics. Could you provide guidance on integrating these tools for efficient data analysis?,en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
26,confident_match,9424,52,de,de,0.999997150267418,"Warnung vor ungewöhnlicher Netzwerkverkehrsaktivität Sehr geehrter Kundenservice, es wurde eine ungewöhnliche Aktivität im Netzwerk festgestellt, die auf einen möglichen unbefugten Zugriff hinweisen könnte. Die Ursache des Problems ist derzeit unbekannt, jedoch besteht ein Zusammenhang mit internen Phishing-Fehlern. Erste Überprüfungen der Firewall wurden durchgeführt, und Passwörter wurden vorsorglich geändert. Das Team überwacht die Situation momentan, um die Ursachen zu ermitteln und weitere Sicherheitsverletzungen zu verhindern. Wir werden Sie über weitere Entwicklungen informieren, sobald zusätzliche Informationen vorliegen. Bitte lassen Sie uns wissen, falls Sie Fragen oder Bedenken haben. Wir danken für Ihre Aufmerksamkeit.",de,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,German
27,confident_match,13364,400,de,de,0.999996842048178,"Einbinden von Elasticsearch in ein skalierbares SaaS-Projektmanagement Könnten Sie mehr Details zur Integration von Elasticsearch 7.13 in ein skalierbares SaaS-Projektmanagement bereitstellen? Ich möchte wissen, welche Schritte und Anforderungen für eine erfolgreiche Integration erforderlich sind.",de,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,German
28,confident_match,3325,52,en,en,0.9999967716361264,"Customer Support, I am reaching out to inquire about the API integration options available for your project management SaaS platform. Could you provide comprehensive documentation on the various integration methods, including details on available APIs, SDKs, and tools used to connect platform applications? I would also appreciate information on authentication mechanisms, data formats, and any rate limits applicable to the API. Additionally, it would be helpful to have code examples or sample projects that demonstrate how to utilize the API effectively.",en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
29,confident_match,19777,400,en,en,0.9999965665359576,Concern about Brand Engagement Drop Noticing a decrease in brand engagement,en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
30,confident_match,9256,52,en,en,0.9999957647886328,"Ensuring the Security of Medical Data in Healthcare Facilities Customer Support team, I am reaching out to inquire about best practices for safeguarding medical data within hospital environments that utilize Red Enterprise Linux. Could you provide guidance on maintaining the confidentiality, integrity, and availability of sensitive patient information? What security measures are recommended to prevent data breaches and protect against cyber threats? Are there specific configurations or tools within Red Enterprise Linux that can bolster security in hospital settings? We would appreciate any advice or resources you can share to assist us.",en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
31,confident_match,4301,52,en,en,0.9999973692114028,Rails Support for Kubernetes Deployment Can you offer assistance with integrating a Ruby on Rails 6.1 scalable project management SaaS within a Kubernetes environment? I require help with deployment setup and configuration.,en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
32,confident_match,3018,52,en,en,0.9999968633910722,"Heating Problem The heating system malfunction led to server overheating. A suspected failure in the cooling system was identified. The impacted servers were restarted, and their temperatures are being monitored. Support has been contacted for further assistance.",en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
33,confident_match,11225,400,en,en,0.9999976822128692,"Concerns About Delayed Response Times in Digital Tools Our marketing agency is facing slow response times, which might be due to high traffic or software issues. We have already cleared caches and updated the software.",en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
34,confident_match,21435,400,de,de,0.9999958684165896,"Probleme mit der Netzwerkperformance Sehr geehrte Kundenservice-Abteilung, <br><br>ich melde mich an, um eine kritische Problematik zu melden: Die Investitionsdatenanalyse wird beeinträchtigt. Mehrere wichtige Anwendungen, darunter Evernote und Figma, leiden unter schweren Leistungsproblemen. Ich vermute, dass der Netzwerkverkehr über die TP-Link 16-Port-Schnittstelle die Datenübertragungsleistung schadet. <br><br>Bisher habe ich versucht, das Problem zu beheben, indem ich das Gerät neustarte und die Verbindungen überprüfe, leider blieb das Problem bestehen. Ich freue mich, wenn Ihr Team Anleitungen geben könnte, um das Problem schnell zu lösen. <br><br>Bitte informieren Sie uns.",de,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,German
35,confident_match,27440,400,en,en,0.9999969888090262,"Issue Detected with Investment Analytics Services Billing A billing error was encountered with the investment analytics services, which might be related to system integration problems. Upon review of the transaction logs, a discrepancy was confirmed.",en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
36,confident_match,8584,52,de,de,0.9999976054955516,"Sehr geehrter Kundenservice, ich möchte mich über die Zahlungsoptionen und Zahlungspläne für die Klipsch ProMedia 2.1 THX und Norton 360 erkundigen. Ich bin an den Produkten interessiert, benötige jedoch zusätzliche Informationen zu den verfügbaren Zahlungsmethoden, verschiedenen Abrechnungszyklen, möglichen Rabatten oder Aktionen. Außerdem würde ich gerne die Preise, eventuelle Zusatzkosten und Bündelangebote oder Rabatte bei einem gemeinsamen Kauf beider Produkte erfahren. Könnten Sie mir diese Details bitte mitteilen?",de,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,German
37,confident_match,2420,52,de,de,0.9999955385084176,"Meldung eines kritischen Problems im Multi-Produkt-System unserer Marketingagentur Bitte melden Sie ein ernsthaftes Problem im Multi-Produkt-System unserer Marketingagentur. Wir erleben wiederkehrende Ausfälle, die die Umsetzung unserer digitalen Strategie erheblich beeinträchtigen. Trotz unserer intensiven Bemühungen konnten wir das Problem bisher nicht beheben. Mögliche Ursachen könnten Softwarekonflikte oder Netzwerkprobleme sein. Wir haben Geräte neu gestartet, Software aktualisiert und die Konfigurationen überprüft, doch das Problem besteht weiterhin. Wir schätzen, dass die Identifizierung der Ursachen uns bei der Entwicklung einer Lösung unterstützen und den reibungslosen Betrieb des Systems wiederherstellen könnte. Vielen Dank im Voraus.",de,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,German
38,confident_match,3042,52,de,de,0.9999991536256592,"Sehr geehrter Kundendienst, ich möchte einen Sicherheitsvorfall melden, bei dem unbefugter Zugriff auf die medizinischen Daten unserer Gesundheitseinrichtung erfolgt ist. Die Untersuchung deutet darauf hin, dass eine Verletzung durch unsichere USB-Geräte und möglicherweise durch kompromittierte Software verursacht wurde. Sofort wurden Maßnahmen ergriffen, um die betroffenen Systeme zu isolieren, Sicherheitsupdates durchzuführen, jedoch konnte das Problem noch nicht vollständig behoben werden. Es besteht die Möglichkeit, dass sensible Patientendaten offengelegt wurden, was uns Sorgen bezüglich der möglichen Folgen macht. Wir bitten höflich um Ihre Unterstützung bei einer gründlichen Untersuchung.",de,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,German
39,confident_match,4498,52,de,de,0.9999966248772362,Sicherheitsproblem beim Zugriff auf Gesundheitsdaten Benötige Unterstützung,de,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,German
40,confident_match,6385,52,en,en,0.9999974335669762,"Customer support is currently addressing intermittent failures in the data analytics system, which may be caused by software incompatibility or hardware issues. After restarting the affected devices and updating the software, the problem persists. We kindly request your assistance in resolving this matter promptly to minimize potential losses. Please advise on the next steps to take. We appreciate your prompt attention to this issue and look forward to your response.",en,detector_correct,Declared label and automatic detection agree with the text.,Author,confirmed,English
41,uncertain_or_other,11865,400,en,uncertain,0.5714266625967845,Enhance Investment Tactics Can provide details on data analytics tools?,en,declared_label_correct,Short English text; automatic detector is inconclusive.,Author,confirmed,English
42,uncertain_or_other,20087,400,de,uncertain,0.5714278983497751,"Request for Investment Support Services Could you provide more details on investment optimization services, particularly data preparation solutions? Thank you.",en,uncertain,"Text is clearly English; declared German label is inconsistent, while the detector remained inconclusive.",Author,confirmed,English
43,uncertain_or_other,23834,400,de,other,0.8571396193591075,Safe Medical Data Provide details on managing medical data securely,en,uncertain,Text is English; declared German label is inconsistent and the detector's 'other' result is not specific enough.,Author,confirmed,English
44,uncertain_or_other,9289,52,de,other,0.9999982371489984,"Avanzada Análisis de Datos Escribo para solicitar información sobre la implementación de herramientas de análisis de datos avanzadas, mejorando la optimización de inversiones y procesos de toma de decisiones en nuestra empresa. Estamos interesados en utilizar el aprendizaje automático y la inteligencia artificial para obtener insights de datos y tomar decisiones informadas sobre inversiones. El objetivo es reducir el riesgo en nuestra área de rendimiento del portafolio. Valoramos su experiencia y consejos que puedan ayudarnos a alcanzar este objetivo. Por favor, indíquenos si posee el conocimiento especializado necesario para orientarnos en la dirección adecuada.",es,detector_correct,"Text is Spanish, not German or English.",Author,confirmed,Spanish
45,uncertain_or_other,20803,400,en,uncertain,0.5714291795758659,Declining Brand Engagement There has been a notable decrease in brand engagement.,en,declared_label_correct,Short English text; automatic detector is inconclusive.,Author,confirmed,English
46,uncertain_or_other,4972,52,de,uncertain,0.7142836809635775,Request for a scalable SaaS project management platform Would you be able to provide comprehensive documentation?,en,uncertain,"Text is English; declared German label is inconsistent, while the detector remained inconclusive.",Author,confirmed,English
47,uncertain_or_other,10788,400,de,other,0.9999966634368638,"Unprécises Prévisions d'Investissement - Demande d'Aide Notre entreprise financière rencontre des difficultés de précision dans les prévisions d'investissement. Les algorithmes obsolètes et la mauvaise qualité des données sont à l'origine de ce problème. Des essais pour re-calibrer le logiciel d'analytiques et actualiser les ensembles de données n'ont pas porté leurs fruits. Le groupe d'équipe a essayé diverses méthodes de résolution de problèmes, mais le problème persiste. Nous sollicitons aimablement votre équipe d'assistance clients pour résoudre ce problème et améliorer la précision de nos prévisions d'investissement.",fr,detector_correct,"Text is French, not German or English.",Author,confirmed,French
48,uncertain_or_other,25850,400,de,uncertain,0.714283035016432,Digital Branding Details Could you provide specifics on digital strategies?,en,uncertain,"Text is English; declared German label is inconsistent, while the detector remained inconclusive.",Author,confirmed,English
49,uncertain_or_other,2293,52,de,other,0.9999976061113304,"Interrumpidas Operaciones de la Plataforma de Gestión de Proyectos Se ha reportado un evento en la Plataforma de Gestión de Proyectos que ha experimentado operaciones intermitentes. Esto podría estar relacionado con un sobrecarga de servidores a raíz de una reciente actualización de código. Ya se han tomado medidas provisionales, como reiniciar los servidores y deshacer la última actualización, pero los problemas persisten. Estas interrupciones han significado un gran impacto en nuestros procesos de productividad y necesitamos su ayuda urgente para resolver el problema en un plazo breve. Por favor, investigue la causa raíz del problema y proporcione una solución para prevenir futuros incidentes. Agradecemos su atención al asunto.",es,detector_correct,"Text is Spanish, not German or English.",Author,confirmed,Spanish
50,uncertain_or_other,17289,400,en,uncertain,0.7142841861590672,Engagement Support Concern There has been a decline in client engagement.,en,declared_label_correct,Short English text; automatic detector is inconclusive.,Author,confirmed,English
51,uncertain_or_other,9469,52,de,uncertain,0.7142844310039599,Fehler im Datenanalyse-System gemeldet Das System funktioniert korrekt.,de,declared_label_correct,Text is German; automatic detector is inconclusive.,Author,confirmed,German
52,uncertain_or_other,7115,52,de,other,0.8571391548124085,Serverprobleme,de,declared_label_correct,The one-word text is German; automatic detection as 'other' is not supported.,Author,confirmed,German
53,uncertain_or_other,14372,400,de,other,0.9999982240772494,"Technische Unterstützung: Kompatibilitätsprobleme Varios productos están experimentando problemas de compatibilidad, lo que conduce a fallos de software. Los últimos actualizaciones y cambios de configuración podrían ser la causa. Se han intentado asegurar que la instalación se reinicie y que los controladores estén en la versión más reciente.",de-es,both_acceptable,German heading with predominantly Spanish body; neither a simple German nor English label fully represents the text.,Author,confirmed,German-Spanish mixed
54,uncertain_or_other,5175,52,de,uncertain,0.7142828058463582,Options for scalable SaaS integrations Could you please provide detailed documentation on scalable SaaS integration options for project management?,en,uncertain,"Text is English; declared German label is inconsistent, while the detector remained inconclusive.",Author,confirmed,English
55,uncertain_or_other,17970,400,en,uncertain,0.5714272698223019,Investment Model Produces Unstable Results Unstable results attributed to data quality problems,en,declared_label_correct,Short English text; automatic detector is inconclusive.,Author,confirmed,English
56,uncertain_or_other,4270,52,en,uncertain,0.7142836136387232,Flexible and Efficient SaaS Project Management Solution Inquiring about pricing details,en,declared_label_correct,Short English text; automatic detector is inconclusive.,Author,confirmed,English
57,uncertain_or_other,18965,400,en,uncertain,0.7142828838363913,Troubleshooting Investment Analytics Problems Facing inconsistencies in investment performance analytics due to data discrepancies and model calibration issues.,en,declared_label_correct,English text; automatic detector is inconclusive.,Author,confirmed,English
58,uncertain_or_other,13584,400,de,other,0.9999953474519998,"Urgente Auxílio Prezado Serviço ao Cliente, escrevo para solicitar atenção imediata aos atuais problemas técnicos, que afetam vários produtos, incluindo o Monday.com, um importante ferramenta de desenvolvimento. Estes problemas estão causando interrupções significativas em nossos processos operacionais e gerando prejuízos substanciais. Por favor, trate este assunto com a máxima urgência, disponibilizando as recursos necessários para resolver o problema o mais rápido possível. Agradecemos a fornecimento de um plano detalhado das medidas a serem tomadas, juntamente com uma estimativa do tempo necessário para uma solução. Aguardo seu contato.",pt,detector_correct,"Text is Portuguese, not German or English.",Author,confirmed,Portuguese
59,uncertain_or_other,22259,400,de,other,0.9999961906242576,Unprécises rapports d'analyse des données d'investissement Observer des imprécisions dans les rapports d'analyse des données d'investissement. Les causes potentielles pourraient être des algorithmes obsolètes.,fr,detector_correct,"Text is French, not German or English.",Author,confirmed,French
60,uncertain_or_other,17311,400,en,uncertain,0.5714264610648141,Concerns About Latest Invoices Noted discrepancies in recent invoices due to apparent errors.,en,declared_label_correct,Short English text; automatic detector is inconclusive.,Author,confirmed,English
